instr_resp.keys,instr_resp.rt,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_1.thisRepN,prac_1.thisTrialN,prac_1.thisN,prac_1.thisIndex,prac_1.ran,prac_1.order,imageFile,posX,posY,corrAns,*Participant ID ,date,expName,psychopyVersion,frameRate
space,0.472,m,0,0.196,1,0,8,6,1,7,circle.jpg,0,0,c,,2019-05-23_15h02.14.049,Primed GoNogo,3.0.4,60
,,c,1,0.182,1,0,8,7,1,7,circle.jpg,-0.1,0,c,,2019-05-23_15h02.14.049,Primed GoNogo,3.0.4,60
,,m,1,0.181,1,0,8,2,1,7,square.jpg,0,0,m,,2019-05-23_15h02.14.049,Primed GoNogo,3.0.4,60
,,c,1,0.182,1,0,8,4,1,7,circle.jpg,0,0,c,,2019-05-23_15h02.14.049,Primed GoNogo,3.0.4,60
